Genes	cor	pvalue	Diff_group	gene_upper	is_bcell	to_label	adjusted_pvalue
ADAM22	0.345381016945653	9.13639483577837e-05	Benign_Tumor	ADAM22	FALSE	FALSE	0.000189936025600823
ADAM23	0.0867569236823597	0.340004126189818	Benign_Tumor	ADAM23	FALSE	FALSE	0.348554029172144
ADAM28	0.279640232181793	0.00173363775049922	Benign_Tumor	ADAM28	FALSE	FALSE	0.00261455943138915
ADAM32	0.283331229216789	0.00149554633266215	Benign_Tumor	ADAM32	FALSE	FALSE	0.00229323976354349
ADAM33	0.465283833049049	5.88428688344659e-08	Benign_Tumor	ADAM33	FALSE	FALSE	3.04742266830441e-07
ADAM8	0.375909824173695	1.82979403406342e-05	Benign_Tumor	ADAM8	FALSE	FALSE	4.6071758274001e-05
ADAM9	0.394137741658079	6.46633418282523e-06	Benign_Tumor	ADAM9	FALSE	FALSE	1.84877180347976e-05
ADAMTS1	0.479783384658091	1.96621401665408e-08	Benign_Tumor	ADAMTS1	FALSE	FALSE	1.19468790016988e-07
ADAMTS10	0.610197168195986	6.77206118254362e-14	Benign_Tumor	ADAMTS10	FALSE	FALSE	1.80894183183108e-12
ADAMTS12	0.225786810486046	0.0120374853542347	Benign_Tumor	ADAMTS12	FALSE	FALSE	0.0151262615526101
ADAMTS15	0.366570969076601	3.04505628143801e-05	Benign_Tumor	ADAMTS15	FALSE	FALSE	7.18712662486119e-05
ADAMTS17	0.279426828380397	0.00174840271880295	Benign_Tumor	ADAMTS17	FALSE	FALSE	0.00263504069872431
ADAMTS2	0.358658485428367	4.63161729922654e-05	Benign_Tumor	ADAMTS2	FALSE	FALSE	0.000104367206194263
ADAMTS3	0.110047673552499	0.225623362088656	Benign_Tumor	ADAMTS3	FALSE	FALSE	0.234742959500711
ADAMTS4	0.497826174994177	4.67224905209717e-09	Benign_Tumor	ADAMTS4	FALSE	FALSE	3.43536045742725e-08
ADAMTS5	0.308950856890922	0.000507231644713815	Benign_Tumor	ADAMTS5	FALSE	FALSE	0.00086898992333644
ADAMTS8	0.348902643407404	7.65234381115104e-05	Benign_Tumor	ADAMTS8	FALSE	FALSE	0.000162290549054957
ADAMTS9	0.516098005108618	9.98850995886679e-10	Benign_Tumor	ADAMTS9	FALSE	FALSE	9.012228597302e-09
ADAMTS9-AS1	0.256172458903601	0.00423686508288247	Benign_Tumor	ADAMTS9-AS1	FALSE	FALSE	0.00584676118172164
ADAMTS9-AS2	0.356028502605127	5.31152474528009e-05	Benign_Tumor	ADAMTS9-AS2	FALSE	FALSE	0.000117980851316855
ADAMTSL1	0.238054760524041	0.00801520428427651	Benign_Tumor	ADAMTSL1	FALSE	FALSE	0.0104370224004598
ADAMTSL2	0.207026700561271	0.0215877612208206	Benign_Tumor	ADAMTSL2	FALSE	FALSE	0.0258405999609407
ADAMTSL3	0.422860928629709	1.10231638018943e-06	Benign_Tumor	ADAMTSL3	FALSE	FALSE	3.92823180519222e-06
ADAMTSL4	0.361762638324442	3.93412168600894e-05	Benign_Tumor	ADAMTSL4	FALSE	FALSE	9.0309665413056e-05
ADAMTSL5	0.336095773264998	0.000144348493238137	Benign_Tumor	ADAMTSL5	FALSE	FALSE	0.000284513236957032
ADAP1	0.281264855861884	0.00162489308185436	Benign_Tumor	ADAP1	FALSE	FALSE	0.00246945056735805
ADAP2	0.427667319540743	8.06583979640768e-07	Benign_Tumor	ADAP2	FALSE	FALSE	2.97511423849969e-06
ADAR	0.317870344717084	0.000340003002473531	Benign_Tumor	ADAR	FALSE	FALSE	0.000607279132643686
ADARB1	0.492693581876998	7.09176772187396e-09	Benign_Tumor	ADARB1	FALSE	FALSE	4.9347675930627e-08
ADAT1	0.41578769722306	1.73050333610338e-06	Benign_Tumor	ADAT1	FALSE	FALSE	5.84626490081563e-06
ADAT3	0.093636866920892	0.302941917391645	Benign_Tumor	ADAT3	FALSE	FALSE	0.311626559187535
ADCK1	0.537196817875043	1.49560074020433e-10	Benign_Tumor	ADCK1	FALSE	FALSE	1.70505053639839e-09
ADCK2	0.370737382573684	2.43082479421047e-05	Benign_Tumor	ADCK2	FALSE	FALSE	5.90381074863376e-05
ADCK5	0.284851660323903	0.00140643438326724	Benign_Tumor	ADCK5	FALSE	FALSE	0.00216919903442812
ADCY1	0.51607009063214	1.00127822873109e-09	Benign_Tumor	ADCY1	FALSE	FALSE	9.02889742676854e-09
ADCY2	0.470467812795835	3.99960478875739e-08	Benign_Tumor	ADCY2	FALSE	FALSE	2.19470913936994e-07
ADCY3	0.424477650881095	9.92907679721085e-07	Benign_Tumor	ADCY3	FALSE	FALSE	3.58843149136608e-06
